psu_id,case_id,psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,psu_form_factor_match,psu_length_ok,label
8d4282f6-bb48-4b24-94dc-a357465b3bf6,0d5d063d-ad04-49dc-8ecc-fd979d2b2ecc,650.0,ATX,139.0,80+ BRONZE,ATX,180.0,1,1,1
39b39ddb-7b96-4d84-999f-1686b2523bfc,346e977f-72ea-48ac-821e-a6d0779f54f0,850.0,SFX,100.0,80+ PLATINUM,ATX,,0,-1,0
a8e3d0d9-fcf9-4e81-83c1-ea8e747cfac6,51f73554-bf24-4a1f-bd6d-85936a4770dc,850.0,SFX,100.0,,ATX,,0,-1,0
759bef40-396d-4dc4-a1aa-5dbaa16fa6cf,e19caca6-15c5-435e-9285-1a4b4698239a,650.0,ATX,150.0,80+ GOLD,ATX,182.0,1,1,1
6c27e75f-9102-472d-b54a-a0ff167e9b40,51c2e82d-01c1-47b9-9c6d-5798a19ff6bd,630.0,ATX,165.0,,ATX,200.0,1,1,1
a9e060fa-8e95-4186-be67-3507b9434bab,3cf043a7-3fa1-41c9-a24c-0bbf3f4db1a7,500.0,ATX,140.0,,ATX,220.0,1,1,1
fe7e4ebf-877e-42d1-9f18-9b19a1ddafed,c1929670-8da8-4ecf-a40c-2e3116279251,450.0,SFX,100.0,80+ BRONZE,ATX,180.0,0,1,0
0e99157b-e12b-43cf-ac71-a6cf5bfb47ff,08f83f40-7f0f-4c64-a208-c7f516f1efcf,600.0,Flex ATX,150.0,80+ PLATINUM,ATX,210.0,0,1,0
199e5094-656a-4c92-9e38-f3ab0dfc5152,81721d18-7067-4bde-8b98-0f9c8cb25af9,850.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0,-1,0
bd9fd5a5-0c0b-4129-b90c-61222af880b9,55b94e26-2495-4727-acff-6ac025396bcd,550.0,ATX,140.0,80+ BRONZE,ATX,200.0,1,1,1
51f3bc0a-9d99-4143-897c-7dda257f2fb4,1bca2574-b9d8-491a-8f3c-02310ec2a557,250.0,Mini-ITX,150.0,80+,ATX,223.0,0,1,0
dd9a0e74-c22e-4fc1-b6e5-71dcb5180953,71d9e671-5494-4ede-b0e0-5625804f70a0,750.0,ATX,160.0,80+ PLATINUM,ATX,150.0,1,0,0
9fc02cfb-872a-458d-8b1a-7897690934e6,20cf5e59-e8e0-4997-b8f0-274871866f28,850.0,SFX,100.0,80+ GOLD,ATX,,0,-1,0
5b3bc43b-a06f-47b2-823a-c13c816f0aa5,928046a4-02df-4779-a80d-4d5b24b1e77f,200.0,Mini-ITX,,,ATX,180.0,0,-1,0
f16d119f-00a7-4c3b-bdd8-abc5e6eefe47,bd22ec2e-6668-41e1-85c6-1305c6c7100a,700.0,ATX,180.0,80+ BRONZE,ATX,160.0,1,0,0
620e133b-104e-47aa-81d0-1144876bf878,3ccdeed3-a4d9-4141-babe-b715614472bf,1200.0,ATX,190.0,80+ PLATINUM,ATX,182.0,1,0,0
49250cc3-6819-4a59-b978-e6135340afb5,86816bd7-32e5-4493-a219-c70e72d4dec6,850.0,ATX,160.0,80+ GOLD,ATX,250.0,1,1,1
b42f0ed3-5f79-4be6-a0cd-a078e5178172,51b2027c-caff-483f-9398-25f2b30cd0d9,400.0,ATX,,,SFX | SFX-L,,0,-1,0
6584918b-be77-4dc1-9d52-b4e05d1fcfac,bd591f2c-5798-48f1-a823-2ce56ab00a8a,1000.0,ATX,190.0,80+ GOLD,ATX,180.0,1,0,0
52ec4fad-385b-4f10-8fda-97335cc2d777,d21655d9-9b38-472c-9208-4c1e93381183,300.0,SFX,105.0,,ATX,220.0,0,1,0
636a3baf-010b-48d0-89f8-4964e10aa4aa,71d9e671-5494-4ede-b0e0-5625804f70a0,750.0,ATX,160.0,80+ GOLD,ATX,150.0,1,0,0
196e4fb4-d88f-4d2b-9ae2-5fc6327aa957,456a564c-2998-4260-b779-ee852852a829,500.0,ATX,140.0,80+,SFX | SFX-L,,0,-1,0
e5d552f2-3d56-4ccc-8a1f-93f916aef311,e6e3d555-041f-4426-b669-cdece8799809,1000.0,ATX,150.0,80+ PLATINUM,ATX,180.0,1,1,1
32283f0a-e82e-445f-8a6c-360f3f6f00b4,27e9107f-8ab1-4e5b-8c2f-43cb540c1b2a,650.0,ATX,160.0,80+ GOLD,ATX,220.0,1,1,1
303a4075-5136-4c49-aa4a-eb5685a7c170,7c3451cf-80fc-4040-a23a-a83bdb494606,850.0,SFX,100.0,80+ GOLD,ATX,180.0,0,1,0
8119d1d6-1bed-4cb3-9b8a-7dbe5a7850ef,abf2c632-f2b2-4930-85b2-832f5a292234,300.0,SFX,100.0,80+ BRONZE,ATX,180.0,0,1,0
a9ff93db-5c27-4d43-8223-245383d991e0,517f12f3-4679-4d13-8832-0fcd2c2a40ea,300.0,TFX,175.0,80+ BRONZE,ATX,,0,-1,0
87a3d787-4870-4a51-9a09-8e681bd7c1a8,e19caca6-15c5-435e-9285-1a4b4698239a,700.0,ATX,150.0,80+ BRONZE,ATX,182.0,1,1,1
9854a0f2-c6e7-4e3b-81d1-9f8d132921c5,42d47c5a-8e21-4da9-ba4e-ea55290ce616,550.0,ATX,140.0,80+ PLATINUM,ATX,,1,-1,1
f2205750-ea60-4ecb-bba9-bfd073f3d430,5e00115c-0c9a-41f6-9714-d10d20bc81ce,650.0,SFX,100.0,80+ GOLD,ATX,,0,-1,0
5f5e61b3-6f51-49b5-b1cb-ccb694de332e,51b2027c-caff-483f-9398-25f2b30cd0d9,1000.0,ATX,170.0,80+ PLATINUM,SFX | SFX-L,,0,-1,0
